assay,antigen,type,group1,group2,n1,n2,p (Mann-Whitney U-test),p.adjusted (BH),p.adjusted(BH),log10 MFI difference
IgG1,B.1.351.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.80244516
IgG1,B.1.617.2.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.712537535
IgG1,B.617.1.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.724911665
IgG3,B.1.617.2.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.708398101
IgG3,B.617.1.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.703347974
FcR2B,B.1.1.7.S,FcR,P,NInf,15,10,6.12E-07,1.92E-05,***,1.044309633
FcR3A,B.1.1.7.S,FcR,P,NInf,15,10,6.12E-07,1.92E-05,***,0.524340146
FcR3A,B.1.351.RBD,FcR,P,NInf,15,10,6.12E-07,1.92E-05,***,1.245817627
IgG1,B.1.351.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.507467973
IgG1,B.617.1.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.432364312
IgG1,P1.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.09876628
IgG3,B.1.351.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.501919113
IgG3,P1.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.113523044
FcR2A,WT.S1,FcR,M,NInf,16,10,7.53E-07,1.92E-05,***,1.573607779
FcR3A,WT.S1,FcR,M,NInf,16,10,7.53E-07,1.92E-05,***,1.507476987
IgG3,B.1.351.RBD,Titer,M,NInf,16,10,7.53E-07,1.92E-05,***,0.774566606
FcR2A,B.1.1.7.S,FcR,P,NInf,15,10,1.22E-06,2.05E-05,***,0.504872268
FcR2A,WT.S1,FcR,P,NInf,15,10,1.22E-06,2.05E-05,***,1.444335963
FcR2B,WT.S1,FcR,P,NInf,15,10,1.22E-06,2.05E-05,***,1.731929097
FcR3A,WT.S1,FcR,P,NInf,15,10,1.22E-06,2.05E-05,***,1.411888048
IgG1,B.1.1.7.S,Titer,P,NInf,15,10,1.22E-06,2.05E-05,***,0.711505299
IgG1,B.1.617.2.RBD,Titer,P,NInf,15,10,1.22E-06,2.05E-05,***,0.382635859
IgG1,WT.S1,Titer,P,NInf,15,10,1.22E-06,2.05E-05,***,0.946138253
IgG3,B.617.1.RBD,Titer,P,NInf,15,10,1.22E-06,2.05E-05,***,0.487655994
FcR2A,B.1.1.7.S,FcR,M,NInf,16,10,1.51E-06,2.05E-05,***,0.564526739
FcR2A,B.1.351.RBD,FcR,M,NInf,16,10,1.51E-06,2.05E-05,***,1.483115016
FcR3A,B.1.351.RBD,FcR,M,NInf,16,10,1.51E-06,2.05E-05,***,1.508975128
IgG1,B.1.1.7.S,Titer,M,NInf,16,10,1.51E-06,2.05E-05,***,0.969903943
IgG1,B.1.351.S,Titer,M,NInf,16,10,1.51E-06,2.05E-05,***,0.871115695
IgG1,WT.S1,Titer,M,NInf,16,10,1.51E-06,2.05E-05,***,1.240158209
FcR2A,B.1.351.RBD,FcR,P,NInf,15,10,2.45E-06,2.69E-05,***,1.276600038
FcR2A,B.1.351.S,FcR,P,NInf,15,10,2.45E-06,2.69E-05,***,0.19605351
FcR3A,B.617.1.RBD,FcR,P,NInf,15,10,2.45E-06,2.69E-05,***,1.189603732
FcR3B,WT.S1,FcR,P,NInf,15,10,2.45E-06,2.69E-05,***,1.702799961
