assay,antigen,type,group1,group2,n1,n2,p (Mann-Whitney U-test),p.adjusted (BH),p.adjusted(BH),Median BNT162b2 / Median mRNA-1273
ADCD,S,Function,BNT162b2,mRNA-1273,45,28,0.424,0.520914286,,1.001331558
ADCP,B1.1.7,Function,BNT162b2,mRNA-1273,45,28,0.291,0.421540984,,1.005131633
ADCP,D614G.E484K,Function,BNT162b2,mRNA-1273,45,28,0.352,0.465723077,,1.0144136
ADCP,D614G.K417N,Function,BNT162b2,mRNA-1273,45,28,0.843,0.854941176,,0.949885301
ADCP,D614G.S,Function,BNT162b2,mRNA-1273,45,28,0.826,0.854941176,,0.98442599
ADCP,S,Function,BNT162b2,mRNA-1273,45,28,0.679,0.739164557,,0.991814412
ADNKA.CD107a,S,Function,BNT162b2,mRNA-1273,45,28,0.0329,0.14147,,0.871440897
ADNKA.IFNg,S,Function,BNT162b2,mRNA-1273,45,28,0.0247,0.118011111,,0.806703911
ADNKA.MIP1b,S,Function,BNT162b2,mRNA-1273,45,28,0.0206,0.110725,,0.927263731
ADNP,B1.1.7,Function,BNT162b2,mRNA-1273,45,28,0.765,0.812222222,,1.054443865
ADNP,D614G.E484K,Function,BNT162b2,mRNA-1273,45,28,0.0836,0.217866667,,1.188122095
ADNP,D614G.K417N,Function,BNT162b2,mRNA-1273,45,28,0.8,0.83902439,,1.069177624
ADNP,D614G.S,Function,BNT162b2,mRNA-1273,45,28,0.0702,0.213517241,,1.191536412
ADNP,S,Function,BNT162b2,mRNA-1273,45,28,0.00835,0.051292857,,0.577114428
FCGR2A,Alpha,FcR,BNT162b2,mRNA-1273,45,28,0.0411,0.160663636,,0.809977305
FCGR2A,Beta,FcR,BNT162b2,mRNA-1273,45,28,0.0777,0.217866667,,0.944803867
FCGR2A,Gamma,FcR,BNT162b2,mRNA-1273,45,28,0.0219,0.110788235,,0.838404304
FCGR2A,NTD,FcR,BNT162b2,mRNA-1273,45,28,0.00132,0.0155875,*,0.478167939
FCGR2A,RBD,FcR,BNT162b2,mRNA-1273,45,28,0.12,0.24,,0.91185552
FCGR2A,S,FcR,BNT162b2,mRNA-1273,45,28,0.099,0.218748718,,0.913178134
FCGR2A,S1,FcR,BNT162b2,mRNA-1273,45,28,0.0977,0.218748718,,0.894409237
FCGR2A,S2,FcR,BNT162b2,mRNA-1273,45,28,0.192,0.33712,,0.960028162
